Participant_ID,steps,active_duration,active_heart_rate,distance,calories,resting_heartrate,sleep,Training_Percentage,Daily_Seasonality
p01,74.95,48.33,No Data,inf,76.54,3.31,18.3,66,TRUE
p02,195.8,137.46,No Data,inf,161.94,inf,10.9,66,TRUE
p03,211.5,169.37,15.21,inf,201.21,inf,31.78,66,TRUE
p04,inf,65.96,15.3,inf,85.21,10.33,30.67,66,TRUE
p05,inf,57.31,7.83,100,54.16,inf,16.2,66,TRUE
p06,inf,104.57,14.67,inf,106.29,inf,17.84,66,TRUE
p07,63.32,79.49,18.2,inf,61.1,inf,14.6,66,TRUE
p08,inf,144.76,No Data,inf,97.6,inf,15.57,66,TRUE
p09,85.06,72.47,12.39,100,82.82,inf,37.26,66,TRUE
p10,inf,97.39,10.37,inf,94.57,inf,16.71,66,TRUE
p11,210.85,272.01,15.89,inf,290.42,166.54,9.49,66,TRUE
p12,559.45,181.41,16.11,100,225.93,No Data,220.4,66,TRUE
p13,inf,171.97,16.84,inf,345.69,No Data,34.84,66,TRUE
p14,45.63,61.23,No Data,inf,47.53,inf,28.34,66,TRUE
p15,261.41,78.8,No Data,inf,78.42,inf,9.66,66,TRUE
